"departamento","provincia","total"
"Capital","Cordoba","4164"
"San Justo","Córdoba","895"
"Rio Cuarto","Cordoba","893"
"Colón","Córdoba","703"
"Punilla","Cordoba","567"
"Unión","Córdoba","460"
"Tercero Arriba","Córdoba","432"
"Santa María","Córdoba","422"
"General San Martín","Córdoba","411"
"Rio Segundo","Cordoba","352"
"Marcos Juárez","Córdoba","333"
"San Javier","Córdoba","275"
"Cruz del Eje","Córdoba","266"
"Presidente Roque Sáenz Peña","Córdoba","201"
"Calamuchita","Córdoba","199"
"Juárez Celman","Córdoba","175"
"San Alberto","Córdoba","171"
"Ischilín","Córdoba","171"
"Rio Primero","Cordoba","151"
"General Roca","Córdoba","81"
"Pte. Roque Saenz Peña","Cordoba","81"
"Totoral","Córdoba","58"
"Ciudad Autónoma de Buenos Aires","Ciudad Autónoma de Buenos Aires","46"
NULL,NULL,"44"
"Tulumba","Córdoba","35"
"Río Seco","Córdoba","33"
"Minas","Cordoba","20"
"Pocho","Córdoba","19"
"Castellanos","Santa Fe","16"
"Rosario","Santa Fe","13"
"San Cristobal","Santa Fe","9"
"Sobremonte","Córdoba","9"
"Capital","Jujuy","9"
"Caseros","Santa Fe","8"
"Capital","Santiago del Estero","8"
"Quilmes","Buenos Aires","6"
"San Fernando","Chaco","6"
"Capital","Tucumán","6"
"Capital","San Juan","6"
"General Lopez","Santa Fe","6"
"San Martin","Santa Fe","6"
"General Sarmiento","Buenos Aires","5"
"La Matanza","Buenos Aires","5"
"La Capital","Santa Fe","5"
"Lomas De Zamora","Buenos Aires","5"
"Ojo De Agua","Santiago del Estero","5"
"Moron","Buenos Aires","5"
"Capital","Salta","4"
"Capital","Mendoza","4"
"Parana","Entre Ríos","4"
"Almirante Brown","Buenos Aires","4"
"Belgrano","Santa Fe","3"
"General San Martin","Buenos Aires","3"
"Mayor Luis J.fontana","Chaco","3"
"Junin","San Luis","3"
"Confluencia","Neuquén","3"
"Iriondo","Santa Fe","3"
"Vicente Lopez","Buenos Aires","3"
"Capital","La Pampa","3"
"Ultracan","La Pampa","3"
"Grl.jose De San Martin","Salta","3"
"Capital","Corrientes","3"
"Chilecito","La Rioja","3"
"Escalante","Chubut","3"
"La Plata","Buenos Aires","2"
"Tigre","Buenos Aires","2"
"Deseado","Santa Cruz","2"
"Belen","Catamarca","2"
"La Capital","San Luis","2"
"General Pueyrredon","Buenos Aires","2"
"Coronel De Marina L. Rosales","Buenos Aires","2"
"General Pedernera","San Luis","2"
"Balcarce","Buenos Aires","2"
"Santa Barbara","Jujuy","2"
"Concordia","Entre Ríos","2"
"San Rafael","Mendoza","2"
"Pilar","Buenos Aires","2"
"Zapala","Neuquén","2"
"San Pedro","Jujuy","2"
"Capital","Misiones","2"
"Ushuaia","Tierra del Fuego","2"
"General Guemes","Salta","2"
"Guer Aike","Santa Cruz","2"
"Lanus","Buenos Aires","2"
"Godoy Cruz","Mendoza","2"
"Tres De Febrero","Buenos Aires","2"
"Rio Chico","Tucumán","2"
"General Villegas","Buenos Aires","2"
"San Isidro","Buenos Aires","1"
"Capital","Catamarca","1"
"Moreno","Buenos Aires","1"
"Toay","La Pampa","1"
"Chacabuco","San Luis","1"
"Rawson","Chubut","1"
"Echeverria","Buenos Aires","1"
"Tinogasta","Catamarca","1"
"La Paz","Catamarca","1"
"Diamante","Entre Ríos","1"
"Quebrachos","Santiago del Estero","1"
"General Roca","Rio Negro","1"
"Marcos Paz","Buenos Aires","1"
"Carmen De Areco","Buenos Aires","1"
"Tandil","Buenos Aires","1"
"Coronel Suarez","Buenos Aires","1"
"Rosario Vera Peñaloza","La Rioja","1"
"Bariloche","Rio Negro","1"
"Rosario De La Frontera","Salta","1"
"Banda","Santiago del Estero","1"
"Ledesma","Jujuy","1"
"Capital","Santa Fe","1"
"General Paz","Corrientes","1"
"Itati","Corrientes","1"
"Pilcomayo","Formosa","1"
"Zarate","Buenos Aires","1"
"Rivadavia","San Juan","1"
"Bahia Blanca","Buenos Aires","1"
"General Obligado","Santa Fe","1"
"Rivadavia","Mendoza","1"
"Avellaneda","Rio Negro","1"
"Pehuajo","Buenos Aires","1"
"Colon","Buenos Aires","1"
"Avellaneda","Buenos Aires","1"
"San Nicolas","Buenos Aires","1"
"Iguazu","Misiones","1"
"Cochinoca","Jujuy","1"
"Anta","Salta","1"
"Capital","La Rioja","1"
"Olavarria","Buenos Aires","1"
"General Belgrano","La Rioja","1"
"San Martin","Mendoza","1"
"Gualeguaychu","Entre Ríos","1"
"Choya","Santiago del Estero","1"
"Rio Grande","Tierra del Fuego","1"
"Adolfo Alsina","Rio Negro","1"
"General Alvear","Mendoza","1"
"San Justo","Santa Fe","1"
"Obera","Misiones","1"
"Chos Malal","Neuquén","1"
"9 De Julio","Chaco","1"
"Formosa","Formosa","1"
"Necochea","Buenos Aires","1"
"Lago Buenos Aires","Santa Cruz","1"
"3 De Febrero","Buenos Aires","1"
"Chicligasta","Tucumán","1"
"Lacar","Neuquén","1"
"Realico","La Pampa","1"
"25 De Mayo","Buenos Aires","1"
"El Carmen","Jujuy","1"
